tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,18982,5311
Lyon,triangle,10,18955,5242
Lyon,triangle,10,18899,5397
Lyon,triangle,10,19025,5338
Lyon,triangle,10,18701,5319
Lyon,triangle,10,19165,5304
Lyon,triangle,10,18971,5399
Lyon,triangle,10,18708,5292
Lyon,triangle,10,18827,5251
Lyon,triangle,10,18478,5188
Lyon,triangle,10,18725,5414
Lyon,triangle,10,18938,5287
Lyon,triangle,10,18908,5329
Lyon,triangle,10,18880,5356
Lyon,triangle,10,19264,5408
Lyon,triangle,10,24611,8861
Lyon,triangle,10,25902,7747
Lyon,triangle,10,27280,10020
Lyon,triangle,10,21049,5523
Lyon,triangle,10,18980,5318
Lyon,triangle,10,18315,5192
Lyon,triangle,10,19065,5261
Lyon,triangle,10,18676,5147
Lyon,triangle,10,18897,5296
Lyon,triangle,10,18674,5294
Lyon,triangle,10,18801,5180
Lyon,triangle,10,18705,5117
Lyon,triangle,10,18511,5243
Lyon,triangle,10,18653,5173
Lyon,triangle,10,18258,5228
Lyon,triangle,10,18827,5171
Lyon,triangle,10,18685,5206
Lyon,triangle,10,18976,5262
Lyon,triangle,10,18975,5150
Lyon,triangle,10,19245,5274
Lyon,triangle,10,18525,5126
Lyon,triangle,10,18385,5129
Lyon,triangle,10,18124,5237
Lyon,triangle,10,18905,5272
Lyon,triangle,10,18615,5219
Lyon,triangle,10,18682,5325
Lyon,triangle,10,18987,5137
Lyon,triangle,10,18836,5170
Lyon,triangle,10,18463,5419
Lyon,triangle,10,18878,5193
Lyon,triangle,10,18583,5378
Lyon,triangle,10,18652,5196
Lyon,triangle,10,18813,5193
Lyon,triangle,10,18430,5351
Lyon,triangle,10,19128,5215
Lyon,triangle,10,18915,5333
Lyon,triangle,10,18965,5280
Lyon,triangle,10,18791,5191
Lyon,triangle,10,18325,5140
Lyon,triangle,10,19624,5183
Lyon,triangle,10,18305,5189
Lyon,triangle,10,18768,7237
Lyon,triangle,10,19070,5272
Lyon,triangle,10,18954,5646
Lyon,triangle,10,18395,5038
Lyon,triangle,10,18764,5261
Lyon,triangle,10,18559,5431
Lyon,triangle,10,18982,5213
Lyon,triangle,10,18616,5275
Lyon,triangle,10,18062,5373
Lyon,triangle,10,17980,5114
Lyon,triangle,10,18033,5238
Lyon,triangle,10,24533,5613
Lyon,triangle,10,18779,5154
Lyon,triangle,10,18520,5217
Lyon,triangle,10,18096,5430
Lyon,triangle,10,18390,5163
Lyon,triangle,10,18084,5343
Lyon,triangle,10,18830,5340
Lyon,triangle,10,18554,5390
Lyon,triangle,10,18768,5353
Lyon,triangle,10,18781,7438
Lyon,triangle,10,19191,5364
Lyon,triangle,10,18492,5343
Lyon,triangle,10,19119,5456
Lyon,triangle,10,18855,5235
Lyon,triangle,10,18736,5262
Lyon,triangle,10,18808,5194
Lyon,triangle,10,18516,5393
Lyon,triangle,10,23260,5676
